EventTradeDate,Ticker,CAR_30D,ret_t0_t1,CAR_t1_t30,position,pred_reg,pnl
2017-07-31,EMBR3,0.1154986540523422,0.00763848398814,0.1154986540523422,-1,0.0824924,-0.1154986540523422
2017-10-30,EMBR3,0.0450909421933373,-0.0103027311891179,0.0450909421933373,1,0.019380674,0.0450909421933373
2018-03-09,EMBR3,0.118092259075818,0.0675460422000727,0.118092259075818,-1,-0.021357648,0.118092259075818
2018-04-30,EMBR3,0.1644255015244692,-0.0196786314398697,0.1644255015244692,1,-0.06907036,-0.1644255015244692
2018-10-31,EMBR3,0.0134807313176321,0.0300701608672946,0.0134807313176321,-1,0.0060544405,-0.0134807313176321
2019-03-15,EMBR3,0.0309868637837416,0.0498286779205051,0.0309868637837416,-1,-0.024206059,0.0309868637837416
2019-06-03,EMBR3,-0.0207818561810003,-0.002113048859776,-0.0207818561810003,1,0.013588021,-0.0207818561810003
2019-08-15,EMBR3,-0.0134267413660029,-0.0170287004120619,-0.0134267413660029,1,-0.0916175,0.0134267413660029
2019-11-13,EMBR3,0.0866686897224481,0.0104167608579841,0.0866686897224481,-1,-0.09345296,0.0866686897224481
2017-03-16,ENAT3,0.1278447509781096,0.0305626504085409,0.1278447509781096,-1,0.036879785,-0.1278447509781096
2017-05-11,ENAT3,0.0141922829569381,0.012820688428473,0.0141922829569381,-1,-0.040165193,0.0141922829569381
2017-08-11,ENAT3,-0.0098714881078234,0.0013651879255566,-0.0098714881078234,-1,-0.035492107,-0.0098714881078234
2017-11-09,ENAT3,0.2152620377081255,-0.0200596696758005,0.2152620377081255,1,0.038474508,0.2152620377081255
2018-03-09,ENAT3,0.3317064939091262,0.0069825720106099,0.3317064939091262,-1,0.013204407,-0.3317064939091262
2018-05-10,ENAT3,0.145582174455272,-0.0451919941922158,0.145582174455272,1,0.04024577,0.145582174455272
2018-08-09,ENAT3,-0.2252522755084589,-0.1694181519588592,-0.2252522755084589,1,-0.056340575,0.2252522755084589
2018-11-13,ENAT3,-0.2979513047603556,-0.095229080091789,-0.2979513047603556,1,0.0018016725,-0.2979513047603556
2019-03-19,ENAT3,-0.0539440736724559,-0.0060790460713201,-0.0539440736724559,1,-0.025357483,0.0539440736724559
2019-05-09,ENAT3,-0.0598760828055781,0.0496996685518489,-0.0598760828055781,-1,-0.03560519,-0.0598760828055781
2019-08-08,ENAT3,-0.0542473418442933,-0.0359809868191323,-0.0542473418442933,1,0.012314578,-0.0542473418442933
2019-11-12,ENAT3,0.0922601414966498,-0.0594383279304727,0.0922601414966498,1,-0.001750714,-0.0922601414966498
2017-02-23,ENBR3,0.0152359144111516,-0.0330727482745504,0.0152359144111516,1,-0.060371824,-0.0152359144111516
2017-05-03,ENBR3,0.0182148790014281,-0.026317308316718,0.0182148790014281,1,-0.006490552,-0.0182148790014281
2017-07-27,ENBR3,-0.0249786992612716,0.0171530792266504,-0.0249786992612716,-1,0.031711936,0.0249786992612716
2017-11-01,ENBR3,-0.0380013246602905,0.0178944898679581,-0.0380013246602905,-1,0.016445873,0.0380013246602905
2018-03-12,ENBR3,0.0207682955775663,0.0122878307941159,0.0207682955775663,-1,0.094821274,-0.0207682955775663
2018-05-14,ENBR3,0.0174917903034621,-0.1153820741134052,0.0174917903034621,1,-0.0012871417,-0.0174917903034621
2018-07-26,ENBR3,-0.0527186063393479,-0.0527563524312187,-0.0527186063393479,1,-0.07407421,0.0527186063393479
2018-11-05,ENBR3,0.0165739134825284,0.0085288363514243,0.0165739134825284,-1,0.005069161,-0.0165739134825284
2019-03-11,ENBR3,-0.0165307073202905,0.0090549571736841,-0.0165307073202905,-1,0.010064602,0.0165307073202905
2019-05-13,ENBR3,0.0174276045508506,-0.0156479576523971,0.0174276045508506,1,-0.0006114603,-0.0174276045508506
2019-07-25,ENBR3,0.0295337484924953,-0.0248588668180167,0.0295337484924953,1,-0.07794257,-0.0295337484924953
2019-10-24,ENBR3,0.0427863196100157,-0.0199413775843016,0.0427863196100157,1,-0.12615632,-0.0427863196100157
2017-11-10,ENEV3,0.0374148100935497,0.0030349036951538,0.0374148100935497,-1,-0.018452136,0.0374148100935497
2018-03-15,ENEV3,-0.0207715914024352,-0.0007404665277236,-0.0207715914024352,1,0.015764795,-0.0207715914024352
2018-05-11,ENEV3,-0.0854324111655621,0.0007196833703936,-0.0854324111655621,-1,-0.0035835602,-0.0854324111655621
2018-08-09,ENEV3,0.0214861188054717,-0.0157483569681392,0.0214861188054717,1,0.009330898,0.0214861188054717
2018-11-09,ENEV3,0.1217056652437527,0.0108109161042154,0.1217056652437527,-1,-0.0490236,0.1217056652437527
